,time,x,y,theta
0,0.0,538.4095,10.1045,-1.55337562371
1,0.01,538.406,10.104,-1.5533668256
2,0.02,538.41,10.108,-1.55336469422
3,0.03,538.416,10.1125,-1.55335198535
4,0.04,538.4115,10.105,-1.55336693711
5,0.05,538.409,10.102,-1.55332833446
6,0.06,538.4025,10.0975,-1.55332449915
7,0.07,538.407,10.0925,-1.55332163772
8,0.08,538.408,10.1,-1.5533562512
9,0.09,538.409,10.1025,-1.55331743197
10,0.1,538.413,10.108,-1.553375744
11,0.11,538.4095,10.099,-1.55330813356
12,0.12,538.414,10.0975,-1.55336702496
13,0.13,538.4085,10.1075,-1.55334760073
14,0.14,538.411,10.1015,-1.55334920087
15,0.15,538.4085,10.1105,-1.55334391796
16,0.16,538.409,10.099,-1.55333282451
17,0.17,538.4075,10.107,-1.55336295878
18,0.18,538.409,10.102,-1.55334460972
19,0.19,538.4105,10.1075,-1.55335197414
20,0.2,538.41,10.0985,-1.55332687343
21,0.21,538.415,10.111,-1.55335153667
22,0.22,538.409,10.0975,-1.55336276906
23,0.23,538.4155,10.113,-1.55337057182
24,0.24,538.4085,10.106,-1.55341483436
25,0.25,538.4035,10.101,-1.55332624608
26,0.26,538.4075,10.111,-1.55333471619
27,0.27,538.4105,10.115,-1.55336474179
28,0.28,538.4045,10.1045,-1.55331931954
29,0.29,538.408,10.094,-1.55333553784
30,0.3,538.407,10.099,-1.55332574738
31,0.31,538.412,10.108,-1.55337366563
32,0.32,538.407,10.1055,-1.55334839601
33,0.33,538.4075,10.1025,-1.55334898534
34,0.34,538.41,10.1035,-1.5533494252
35,0.35,538.413,10.108,-1.55335084664
36,0.36,538.4135,10.106,-1.55333792786
37,0.37,538.4135,10.105,-1.55336217101
38,0.38,538.4105,10.109,-1.55333612926
39,0.39,538.414,10.1005,-1.55336300252
40,0.4,538.4115,10.093,-1.55331978399
41,0.41,538.412,10.105,-1.55335328109
42,0.42,538.412,10.1,-1.55334761157
43,0.43,538.4105,10.097,-1.55332301872
44,0.44,538.414,10.1055,-1.55329232929
45,0.45,538.4135,10.107,-1.55334047608
46,0.46,538.4115,10.0975,-1.55335351993
47,0.47,538.4075,10.0925,-1.55333844716
48,0.48,538.4085,10.1,-1.55333665045
49,0.49,538.4115,10.0985,-1.55336040139
50,0.5,538.4075,10.1005,-1.55335921981
51,0.51,538.4025,10.0925,-1.55333876809
52,0.52,538.4,10.101,-1.55329982702
53,0.53,538.406,10.1005,-1.5533093391
54,0.54,538.404,10.1065,-1.55332544258
55,0.55,538.4055,10.099,-1.55332669467
56,0.56,538.413,10.1105,-1.55332733883
57,0.57,538.408,10.104,-1.55334969
58,0.58,538.4035,10.111,-1.55334279787
59,0.59,538.405,10.103,-1.55331112993
60,0.6,538.405,10.109,-1.55331408516
61,0.61,538.4065,10.0895,-1.55332465188
62,0.62,538.412,10.1005,-1.55334152107
63,0.63,538.4065,10.0955,-1.55330431785
64,0.64,538.409,10.1,-1.55331245851
65,0.65,538.405,10.108,-1.55331476775
66,0.66,538.4075,10.106,-1.55333460532
67,0.67,538.406,10.1055,-1.55336629676
68,0.68,538.415,10.104,-1.55338396427
69,0.69,538.4115,10.0965,-1.5533511734
70,0.7,538.4135,10.098,-1.55334293339
71,0.71,538.4125,10.1085,-1.55337639798
72,0.72,538.406,10.1175,-1.55335095161
73,0.73,538.4,10.1035,-1.55333161565
74,0.74,538.406,10.1045,-1.55332959182
75,0.75,538.4015,10.1055,-1.55336985189
76,0.76,538.4135,10.1015,-1.55335406947
77,0.77,538.42,10.098,-1.55337390768
78,0.78,538.412,10.1015,-1.55334560187
79,0.79,538.4105,10.0925,-1.55329397338
80,0.8,538.409,10.1015,-1.55330425287
81,0.81,538.4055,10.0925,-1.55331204505
82,0.82,538.4045,10.092,-1.55331547583
83,0.83,538.409,10.0885,-1.55332325867
84,0.84,538.403,10.101,-1.55333308118
85,0.85,538.4075,10.105,-1.55335739276
86,0.86,538.4135,10.0985,-1.55336408585
87,0.87,538.4155,10.097,-1.5533523462
88,0.88,538.4115,10.099,-1.55332218037
89,0.89,538.4135,10.088,-1.55329968853
90,0.9,538.4115,10.0895,-1.55331262544
91,0.91,538.4105,10.104,-1.55333513427
92,0.92,538.406,10.0935,-1.55330091263
93,0.93,538.417,10.088,-1.55334504684
94,0.94,538.4075,10.1055,-1.55333857746
95,0.95,538.414,10.104,-1.55333033348
96,0.96,538.4115,10.0985,-1.55331755643
97,0.97,538.4145,10.0945,-1.55333143752
98,0.98,538.4065,10.0975,-1.55331619099
99,0.99,538.405,10.1035,-1.55332152126
100,1.0,538.405,10.1015,-1.5533200243
101,1.01,538.4115,10.1035,-1.55333062671
102,1.02,538.413,10.0985,-1.55333918964
103,1.03,538.41,10.105,-1.55334743236
104,1.04,538.4135,10.114,-1.55335406735
105,1.05,538.4175,10.1085,-1.55334463732
106,1.06,538.4165,10.1065,-1.55337529293
107,1.07,538.412,10.096,-1.55332945554
108,1.08,538.4115,10.1085,-1.55337009169
109,1.09,538.4045,10.102,-1.55332241259
110,1.1,538.411,10.099,-1.55334735232
111,1.11,538.408,10.095,-1.55336380164
112,1.12,538.412,10.1005,-1.55334369612
113,1.13,538.4105,10.1075,-1.55334704226
114,1.14,538.41,10.102,-1.55337812811
115,1.15,538.41,10.096,-1.55334589783
116,1.16,538.418,10.0955,-1.55335362213
117,1.17,538.407,10.1065,-1.5533585041
118,1.18,538.411,10.1125,-1.5533694336
119,1.19,538.4115,10.101,-1.55333813805
120,1.2,538.404,10.101,-1.55331208156
121,1.21,538.4035,10.0975,-1.5533097547
122,1.22,538.4125,10.108,-1.55336178706
123,1.23,538.4115,10.105,-1.5533592934
124,1.24,538.4015,10.1045,-1.5533651397
125,1.25,538.415,10.1035,-1.55336929233
126,1.26,538.4045,10.095,-1.55333199303
127,1.27,538.408,10.1055,-1.55333886351
128,1.28,538.418,10.1025,-1.55337365315
129,1.29,538.4115,10.1035,-1.55335031847
130,1.3,538.4145,10.101,-1.5533459791
131,1.31,538.4075,10.097,-1.55334705954
132,1.32,538.408,10.0965,-1.55338219862
133,1.33,538.415,10.099,-1.55336430129
134,1.34,538.417,10.1115,-1.55338111966
135,1.35,538.414,10.0925,-1.55336022552
136,1.36,538.4175,10.1055,-1.55334869531
137,1.37,538.4125,10.1085,-1.55336890947
138,1.38,538.402,10.1,-1.55334251054
139,1.39,538.4155,10.107,-1.55335450385
140,1.4,538.409,10.099,-1.55335568616
141,1.41,538.4105,10.1065,-1.55334353485
142,1.42,538.412,10.101,-1.5533302406
143,1.43,538.411,10.115,-1.55334846001
144,1.44,538.4075,10.098,-1.55331953183
145,1.45,538.406,10.093,-1.55329757277
146,1.46,538.415,10.11,-1.55333081044
147,1.47,538.4125,10.103,-1.55334408875
148,1.48,538.4135,10.1055,-1.55333084995
149,1.49,538.4075,10.0995,-1.5533477783
150,1.5,538.412,10.103,-1.55341364367
151,1.51,538.4065,10.106,-1.55337557516
152,1.52,538.412,10.11,-1.55335836495
153,1.53,538.407,10.0995,-1.55333687398
154,1.54,538.411,10.114,-1.55332480965
155,1.55,538.405,10.0955,-1.5533662065
156,1.56,538.402,10.0905,-1.55330909286
157,1.57,538.4095,10.1005,-1.55333229025
158,1.58,538.4095,10.099,-1.55334692068
159,1.59,538.4025,10.091,-1.55332271337
160,1.6,538.4055,10.1065,-1.55333556262
161,1.61,538.408,10.104,-1.55334453502
162,1.62,538.4075,10.0895,-1.55330876309
163,1.63,538.4085,10.109,-1.55336431568
164,1.64,538.401,10.105,-1.5533485763
165,1.65,538.4045,10.108,-1.55333636133
166,1.66,538.402,10.102,-1.5533257709
167,1.67,538.4095,10.0985,-1.55334846048
168,1.68,538.4125,10.099,-1.55332835038
169,1.69,538.4075,10.107,-1.55333836908
170,1.7,538.401,10.092,-1.55333755149
171,1.71,538.4025,10.1045,-1.55334152357
172,1.72,538.405,10.102,-1.553350582
173,1.73,538.4035,10.111,-1.5533738037
174,1.74,538.4025,10.108,-1.55338453534
175,1.75,538.4035,10.126,-1.55332528298
176,1.76,538.406,10.0915,-1.55334134039
177,1.77,538.41,10.116,-1.55329744357
178,1.78,538.406,10.0905,-1.55334814107
179,1.79,538.4075,10.113,-1.55333937231
180,1.8,538.4015,10.0945,-1.55335141329
181,1.81,538.418,10.118,-1.55332533818
182,1.82,538.4075,10.096,-1.55334488435
183,1.83,538.405,10.1235,-1.55331863743
184,1.84,538.406,10.105,-1.55335724705
185,1.85,538.4105,10.1195,-1.55335419458
186,1.86,538.4045,10.094,-1.55336805553
187,1.87,538.41,10.1065,-1.55333247721
188,1.88,538.4025,10.0885,-1.5533510533
189,1.89,538.4075,10.1,-1.55333237707
190,1.9,538.4035,10.089,-1.5533567121
191,1.91,538.406,10.0965,-1.55334285281
192,1.92,538.406,10.1025,-1.55333671073
193,1.93,538.402,10.111,-1.55335488001
194,1.94,538.414,10.1015,-1.55331593705
195,1.95,538.4095,10.108,-1.55336961112
