,1098,3,0.000152588
0,1098,4,6.10352e-05
1,1098,5,3.05176e-05
2,1098,6,0.00012207
3,1098,7,0.000152588
4,1098,8,0.0
5,1098,9,0.000152588
6,1099,0,0.00012207
7,1099,1,0.0
8,1099,2,9.15527e-05
9,1099,3,9.15527e-05
10,1099,4,0.000183105
11,1099,5,0.000152588
12,1099,6,0.000152588
13,1099,7,0.000152588
14,1099,8,0.00012207
15,1099,9,9.15527e-05
16,1100,0,9.15527e-05
17,1100,1,9.15527e-05
18,1100,2,6.10352e-05
19,1100,3,0.000152588
20,1100,4,0.000183105
21,1100,5,0.00012207
22,1100,6,9.15527e-05
23,1100,7,0.00012207
24,1100,8,6.10352e-05
25,1100,9,0.000152588
26,1101,0,9.15527e-05
27,1101,1,0.000244141
28,1101,2,0.000152588
29,1101,3,9.15527e-05
30,1101,4,6.10352e-05
31,1101,5,0.00012207
32,1101,6,9.15527e-05
33,1101,7,9.15527e-05
34,1101,8,9.15527e-05
35,1101,9,0.000274658
36,1102,0,0.0
37,1102,1,9.15527e-05
38,1102,2,6.10352e-05
39,1102,3,0.00012207
40,1102,4,3.05176e-05
41,1102,5,6.10352e-05
42,1102,6,0.00012207
43,1102,7,0.00012207
44,1102,8,6.10352e-05
45,1102,9,0.000152588
46,1103,0,0.00012207
47,1103,1,6.10352e-05
48,1103,2,0.00012207
49,1103,3,0.000152588
50,1103,4,3.05176e-05
51,1103,5,3.05176e-05
52,1103,6,0.00012207
53,1103,7,0.000213623
54,1103,8,0.000152588
55,1103,9,0.000152588
56,1104,0,0.000244141
57,1104,1,0.000152588
58,1104,2,3.05176e-05
59,1104,3,0.000183105
60,1104,4,0.00012207
61,1104,5,9.15527e-05
62,1104,6,0.000152588
63,1104,7,3.05176e-05
64,1104,8,0.000152588
65,1104,9,0.000152588
66,1105,0,0.00012207
67,1105,1,0.000152588
68,1105,2,3.05176e-05
69,1105,3,9.15527e-05
70,1105,4,9.15527e-05
71,1105,5,0.000152588
72,1105,6,0.000152588
73,1105,7,0.00012207
74,1105,8,0.000305176
75,1105,9,0.00012207
76,1106,0,0.00012207
77,1106,1,0.000183105
78,1106,2,0.0
79,1106,3,0.000152588
80,1106,4,6.10352e-05
81,1106,5,0.000335693
82,1106,6,0.00012207
83,1106,7,3.05176e-05
84,1106,8,0.0
85,1106,9,0.000183105
86,1107,0,9.15527e-05
87,1107,1,0.000244141
88,1107,2,6.10352e-05
89,1107,3,0.00012207
90,1107,4,0.000152588
91,1107,5,0.000152588
92,1107,6,9.15527e-05
93,1107,7,0.000183105
94,1107,8,0.00012207
95,1107,9,9.15527e-05
96,1108,0,0.00012207
97,1108,1,6.10352e-05
98,1108,2,9.15527e-05
99,1108,3,3.05176e-05
100,1108,4,3.05176e-05
101,1108,5,9.15527e-05
102,1108,6,0.00012207
103,1108,7,0.000152588
104,1108,8,9.15527e-05
105,1108,9,0.000183105
106,1109,0,0.00012207
107,1109,1,6.10352e-05
108,1109,2,0.000183105
109,1109,3,9.15527e-05
110,1109,4,0.00012207
111,1109,5,0.000152588
112,1109,6,3.05176e-05
113,1109,7,0.00012207
114,1109,8,0.000152588
115,1109,9,0.00012207
116,1110,0,0.000152588
117,1110,1,6.10352e-05
118,1110,2,0.000152588
119,1110,3,0.00012207
120,1110,4,0.000183105
121,1110,5,0.0
122,1110,6,0.000183105
123,1110,7,0.000152588
124,1110,8,0.00012207
125,1110,9,0.0
126,1111,0,3.05176e-05
127,1111,1,0.00012207
128,1111,2,0.00012207
129,1111,3,9.15527e-05
130,1111,4,0.00012207
131,1111,5,0.00012207
132,1111,6,3.05176e-05
133,1111,7,0.00012207
134,1111,8,9.15527e-05
135,1111,9,6.10352e-05
136,1112,0,0.0
137,1112,1,0.00012207
138,1112,2,0.000152588
139,1112,3,0.00012207
140,1112,4,0.000152588
141,1112,5,0.000152588
142,1112,6,0.000183105
143,1112,7,9.15527e-05
144,1112,8,0.00012207
145,1112,9,0.000213623
146,1113,0,9.15527e-05
147,1113,1,0.000213623
148,1113,2,-9.15527e-05
149,1113,3,0.00012207
150,1113,4,0.0
151,1113,5,6.10352e-05
152,1113,6,9.15527e-05
153,1113,7,6.10352e-05
154,1113,8,3.05176e-05
155,1113,9,0.00012207
156,1114,0,0.00012207
157,1114,1,0.00012207
158,1114,2,0.000244141
159,1114,3,0.000152588
160,1114,4,6.10352e-05
161,1114,5,6.10352e-05
162,1114,6,0.00012207
163,1114,7,6.10352e-05
164,1114,8,0.00012207
165,1114,9,0.000152588
166,1115,0,9.15527e-05
167,1115,1,6.10352e-05
168,1115,2,0.000152588
169,1115,3,3.05176e-05
170,1115,4,-0.000213623
171,1115,5,0.00012207
172,1115,6,9.15527e-05
173,1115,7,9.15527e-05
174,1115,8,0.000183105
175,1115,9,0.000152588
176,1116,0,0.00012207
177,1116,1,0.000183105
178,1116,2,0.000152588
179,1116,3,0.000183105
180,1116,4,0.000183105
181,1116,5,-3.05176e-05
182,1116,6,0.000183105
183,1116,7,0.000152588
184,1116,8,0.000152588
185,1116,9,0.000183105
186,1117,0,9.15527e-05
187,1117,1,9.15527e-05
188,1117,2,9.15527e-05
189,1117,3,0.000305176
190,1117,4,6.10352e-05
191,1117,5,9.15527e-05
192,1117,6,0.000152588
193,1117,7,0.000183105
194,1117,8,0.00012207
195,1117,9,9.15527e-05
196,1118,0,0.000213623
197,1118,1,0.000244141
198,1118,2,0.000183105
199,1118,3,0.00012207
200,1118,4,6.10352e-05
201,1118,5,3.05176e-05
202,1118,6,6.10352e-05
203,1118,7,0.00012207
204,1118,8,0.00012207
